 ,Area,Mean,Min,Max
1,91092.013,179.172,101,351
2,91092.013,179.513,94,352
3,91092.013,179.190,100,353
4,91092.013,179.143,99,363
5,91092.013,179.034,100,348
6,91092.013,179.244,98,356
7,91092.013,179.405,95,362
8,91092.013,179.262,100,337
9,91092.013,179.429,94,332
10,91092.013,179.332,96,334
11,91092.013,179.286,96,339
12,91092.013,179.001,100,351
13,91092.013,179.285,99,345
14,91092.013,179.019,95,341
15,91092.013,179.123,95,338
16,91092.013,178.997,98,338
17,91092.013,179.121,104,351
18,91092.013,179.021,101,342
19,91092.013,179.172,99,340
20,91092.013,179.288,97,350
21,91092.013,179.085,102,330
22,91092.013,179.211,101,352
23,91092.013,179.083,100,332
24,91092.013,178.991,96,344
25,91092.013,178.993,105,352
26,91092.013,178.924,104,347
27,91092.013,179.007,101,337
28,91092.013,178.914,98,348
29,91092.013,178.913,95,339
30,91092.013,179.187,106,347
31,91092.013,179.015,101,342
32,91092.013,179.044,99,364
33,91092.013,178.972,93,336
34,91092.013,178.994,96,341
35,91092.013,179.140,101,344
36,91092.013,179.100,99,337
37,91092.013,180.657,104,343
38,91092.013,180.645,104,344
39,91092.013,180.784,104,356
40,91092.013,180.646,96,354
41,91092.013,180.095,102,329
42,91092.013,180.107,97,357
43,91092.013,179.929,105,367
44,91092.013,179.630,98,332
45,91092.013,179.346,103,342
46,91092.013,179.176,101,346
47,91092.013,179.097,106,334
48,91092.013,178.910,98,334
49,91092.013,178.975,102,375
50,91092.013,178.887,100,350
51,91092.013,178.621,101,346
52,91092.013,178.668,98,333
53,91092.013,178.673,98,356
54,91092.013,178.613,105,343
55,91092.013,178.544,99,332
56,91092.013,178.513,103,339
57,91092.013,178.328,100,334
58,91092.013,178.486,106,345
59,91092.013,178.485,97,332
60,91092.013,178.307,101,335
61,91092.013,178.174,103,346
62,91092.013,178.206,102,332
63,91092.013,178.248,87,337
64,91092.013,178.239,95,334
65,91092.013,178.585,88,379
66,91092.013,178.597,94,341
67,91092.013,178.509,100,336
